pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Synthesis of substrates in N-glycan biosythesis,Reactome,6,GNE;ST8SIA3;SLC17A5;ST6GALNAC4;ST3GAL2;PGM3,63 (63),0.865,1,0,,56 (69),1,1,0.991,1
trans-Golgi Network Vesicle Budding,Reactome,7,PUM1;TBC1D8B;AP1S2;SH3D19;ARRB1;APP;AP1M2,72 (72),0.866,1,0,,5 (6),1,1,0.991,1
HGF,INOH,3,PLCG2;HGF;SHC2,35 (35),0.866,1,0,,2 (2),1,1,0.991,1
Regulation of nuclear beta catenin signaling and target gene transcription,PID,8,KLF4;INCENP;CHD8;TNIK;VCAN;MMP2;SFN;MMP9,81 (81),0.867,1,0,,2 (2),1,1,0.991,1
Regulation of IFNG signaling,Reactome,1,IFNGR1,14 (14),0.867,1,0,,2 (2),1,1,0.991,1
Classical pathway of steroidogenesis with glucocorticoid and mineralocorticoid metabolism,Wikipathways,1,CYP17A1,14 (14),0.867,1,0,,21 (29),1,1,0.991,1
Erythropoietin activates RAS,Reactome,1,VAV1,14 (14),0.867,1,0,,4 (4),1,1,0.991,1
Retrograde neurotrophin signalling,Reactome,1,NGF,14 (14),0.867,1,0,,4 (4),1,1,0.991,1
MET promotes cell motility,Reactome,1,HGF,14 (14),0.867,1,0,,4 (4),1,1,0.991,1
Postsynaptic nicotinic acetylcholine receptors,Reactome,1,CHRNA2,14 (14),0.867,1,0,,3 (3),1,1,0.991,1
Acetylcholine binding and downstream events,Reactome,1,CHRNA2,14 (14),0.867,1,0,,3 (3),1,1,0.991,1
serotonin degradation,HumanCyc,1,ALDH3A2,14 (14),0.867,1,0,,16 (20),1,1,0.991,1
MAPK pathway in congenital thyroid cancer,Wikipathways,1,KSR1,14 (14),0.867,1,0,,2 (2),1,1,0.991,1
Golgi Cisternae Pericentriolar Stack Reorganization,Reactome,1,USO1,14 (14),0.867,1,0,,3 (3),1,1,0.991,1
Prolactin receptor signaling,Reactome,1,PRLR,14 (14),0.867,1,0,,3 (3),1,1,0.991,1
Synthesis of IP2_ IP_ and Ins in the cytosol,Reactome,1,INPP4B,14 (14),0.867,1,0,,18 (19),1,1,0.991,1
TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain,Reactome,1,PERP,14 (14),0.867,1,0,,5 (7),1,1,0.991,1
Ras signaling in the CD4+ TCR pathway,PID,1,PTPN7,14 (14),0.867,1,0,,1 (1),1,1,0.991,1
AKT phosphorylates targets in the cytosol,Reactome,1,CHUK,14 (14),0.867,1,0,,2 (2),1,1,0.991,1
Relationship between inflammation_ COX-2 and EGFR,Wikipathways,2,PLA1A;PTGS2,25 (25),0.867,1,0,,1 (2),1,1,0.991,1
Signaling by Erythropoietin,Reactome,2,PLCG2;VAV1,25 (25),0.867,1,0,,8 (9),1,1,0.991,1
FRS-mediated FGFR2 signaling,Reactome,2,FGF1;FGF2,25 (25),0.867,1,0,,5 (6),1,1,0.991,1
SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,Reactome,2,SMAD3;WWTR1,25 (25),0.867,1,0,,2 (2),1,1,0.991,1
Downstream signaling of activated FGFR3,Reactome,2,FGF1;FGF2,25 (25),0.867,1,0,,6 (7),1,1,0.991,1
Regulation of PTEN stability and activity,Reactome,2,PREX2;USP13,25 (25),0.867,1,0,,5 (5),1,1,0.991,1
Regulation of TNFR1 signaling,Reactome,2,CHUK;IKBKG,25 (25),0.867,1,0,,2 (3),1,1,0.991,1
SUMOylation of chromatin organization proteins,Reactome,4,SATB1;NUP35;NDC1;POM121,72 (72),0.991,1,0,,0 (0),1,1,0.991,1
Ciliary landscape,Wikipathways,18,APMAP;POM121;IQGAP2;NINL;TBC1D4;VIM;RANBP10;CBS;MCM3;MCM4;CAMK2A;LRPPRC;CTBP2;DCAF11;IQGAP1;RMND5A;MCM10;RAB3IL1,213 (213),0.991,1,0,,0 (0),1,1,0.991,1
CD4 T cell receptor signaling-NFkB cascade,INOH,10,LAT;IKBKG;CARD11;PSMD1;NFKBIA;CD3D;PLCG2;CHUK;LCK;ITPR3,99 (99),0.871,1,0,,3 (4),1,1,0.991,1
FBXL10 enhancement of MAP-ERK signaling in diffuse large B-cell lymphoma,Wikipathways,1,BCOR,33 (33),0.991,1,0,,0 (0),1,1,0.991,1
Base excision repair - Homo sapiens (human),KEGG,1,MBD4,33 (33),0.991,1,0,,0 (0),1,1,0.991,1
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,Reactome,1,ANAPC10,33 (33),0.991,1,0,,0 (0),1,1,0.991,1
Immune System,Reactome,230,A1BG;CFH;IL11;CFHR1;HGF;CPPED1;ABL1;ATP7A;CPN2;PLPP5;WASF3;IQGAP2;TNFSF9;ALOX5;TRIM35;CD300A;INPP5D;RPS6KA2;PECAM1;DOK3;BLNK;RAP1GAP2;ACTG1;FLNA;BPIFB1;PGRMC1;NCF2;PGLYRP2;CD46;KLHL41;SIRPA;TNFRSF11A;CR2;ADAM8;LGALS3;ITGAL;ITGAM;UBE2U;ADAM10;HPSE;ITGB2;ITGB7;MEF2C;CLEC4G;GAB2;MAP3K3;CEACAM1;FGL2;ITPR3;BLK;GHR;SOCS2;DEFB1;STK10;CD63;TNFRSF13C;CCR2;TRIM8;FGB;PTPRB;MAPK12;AHSG;FCGR2B;MGST1;PIGR;NFATC2;CARD9;BST1;VNN1;MRC2;HECW2;RASGRP3;WAS;CD300LB;NFKBIA;PVR;GRAP2;PKM;TRIM63;MAP3K1;AP1S2;PYGB;PYGL;C3;C3AR1;CREG1;BIN2;CD79B;MME;PLCG2;C6;C7;C8A;C8B;IQGAP1;MMP9;C9;CHUK;ALDOA;ASB4;LNX1;HSPA1A;HSPA1B;TLR5;IGLC2;NOS3;VASP;VAV1;SEC23A;CNTFR;CD200;IL27RA;KCTD7;CRISPLD2;MGAM;AMPD3;C5AR1;ADGRG3;VTN;TRIM2;RIPK3;CKAP4;SH3RF1;LTB;ANPEP;PJA1;FGA;DSP;FGR;SEC24A;ANXA2;CAMK2A;QSOX1;WWP1;DUSP4;ICAM2;DUSP7;UNC13D;RAPGEF4;SLC44A2;IRF8;IKBKG;GRB10;ARHGAP9;ORM2;BTLA;CPB2;APOB;RELB;RAPGEF3;IDH1;TLR9;LCK;ASB15;SIPA1;APP;XRCC5;CFI;NFAM1;ARHGAP45;HVCN1;COTL1;IL2RB;PRDX6;GSN;CD22;ARG1;IFNGR1;CD93;LIF;LIFR;TKFC;KCNAB2;RHOF;LIMK1;CD34;CD3D;SDC1;ANAPC10;CD55;SLC11A1;CD8A;AP1M2;LAT;ART1;CD19;P2RX7;TIMP2;EGR1;CNN2;PLEKHO2;WASF2;PYCARD;SOCS5;TLR1;SYNGR1;ATP6V0E2;TLR4;ENAH;SLPI;PAK1;PSMD1;PAK3;CD79A;CD300LG;ADGRE5;CARD11;CDA;PRKCQ;CTLA4;SLC27A2;FGG;CAT;ASB2;MAPK7;CIITA;MAPK11;IL1B;MAPK13;MUC1;PADI2;IL3RA;CD300E;IL9R;EDA2R;PRLR;SMAD3;BCL2;MASP2;ASB5,1827 (1828),0.873,1,0,,65 (147),1,1,0.992,1
Transcriptional Regulation by MECP2,Reactome,6,SGK1;CAMK2A;MEF2C;PVALB;LBR;RBFOX1,64 (64),0.875,1,0,,3 (4),1,1,0.992,1
mTOR signaling pathway,PID,6,RRAGD;DDIT4;SGK1;BNIP3;SFN;DEPTOR,64 (64),0.875,1,0,,6 (6),1,1,0.992,1
Nuclear Pore Complex (NPC) Disassembly,Reactome,3,NUP35;NDC1;POM121,36 (36),0.879,1,0,,2 (2),1,1,0.992,1
Nuclear import of Rev protein,Reactome,3,NUP35;NDC1;POM121,36 (36),0.879,1,0,,2 (3),1,1,0.992,1
RHOBTB GTPase Cycle,Reactome,3,ACTG1;MYO6;VIM,36 (36),0.879,1,0,,1 (1),1,1,0.992,1
Orc1 removal from chromatin,Reactome,2,MCM3;MCM4,26 (26),0.881,1,0,,2 (3),1,1,0.993,1
Cell Differentiation - Index,Wikipathways,2,MEF2C;SRF,49 (49),0.993,1,0,,0 (0),1,1,0.993,1
RNA Polymerase II Promoter Escape,Reactome,4,TAF9B;POLR2D;TAF3;POLR2A,46 (46),0.882,1,0,,5 (6),1,1,0.993,1
Alzheimer_s disease,Wikipathways,15,IL1B;ATP2A1;BACE1;ADAM10;CACNA1C;CACNA1D;ATP2A3;CACNA1S;PLCB4;CASP12;MME;HSD17B10;CHP1;ITPR3;APP,144 (144),0.884,1,0,,7 (7),1,1,0.993,1
ERK Pathway in Huntington_s Disease,Wikipathways,1,NTRK2,15 (15),0.885,1,0,,1 (1),1,1,0.993,1
Prolonged ERK activation events,Reactome,1,NGF,15 (15),0.885,1,0,,5 (5),1,1,0.993,1
Eicosanoid ligand-binding receptors,Reactome,1,PTGIR,15 (15),0.885,1,0,,10 (10),1,1,0.993,1
Unfolded Protein Response (UPR),Reactome,1,CREB3L3,15 (15),0.885,1,0,,2 (4),1,1,0.993,1
Fatty acids,Reactome,1,CYP4B1,15 (15),0.885,1,0,,12 (14),1,1,0.993,1
Interleukin-4 and Interleukin-13 signaling,Reactome,1,SOCS5,15 (15),0.885,1,0,,2 (2),1,1,0.993,1
Validated nuclear estrogen receptor beta network,PID,1,C3,15 (15),0.885,1,0,,1 (1),1,1,0.993,1
estrogen responsive protein efp controls cell cycle and breast tumors growth,BioCarta,1,SFN,15 (15),0.885,1,0,,1 (1),1,1,0.993,1
Response to metal ions,Reactome,1,CSRP1,15 (15),0.885,1,0,,3 (4),1,1,0.993,1
Sorafenib Metabolism Pathway,SMPDB,1,UGT1A1,15 (15),0.885,1,0,,6 (7),1,1,0.993,1
HDR through Single Strand Annealing (SSA),Reactome,3,ABL1;RMI2;RAD50,37 (37),0.89,1,0,,2 (3),1,1,0.994,1
Aldosterone-regulated sodium reabsorption - Homo sapiens (human),KEGG,3,SFN;ATP1A2;SGK1,37 (37),0.89,1,0,,8 (8),1,1,0.994,1
Activation of ATR in response to replication stress,Reactome,3,MCM3;MCM10;MCM4,37 (37),0.89,1,0,,2 (4),1,1,0.994,1
DNA Replication Pre-Initiation,Reactome,3,MCM3;MCM10;MCM4,37 (37),0.89,1,0,,3 (5),1,1,0.994,1
PTEN Regulation,Reactome,9,RRAGD;EGR1;MAF1;CBX6;HDAC7;USP13;PREX2;SNAI1;ATN1,93 (93),0.891,1,0,,11 (11),1,1,0.994,1
HIV Transcription Initiation,Reactome,4,TAF9B;POLR2D;TAF3;POLR2A,47 (47),0.892,1,0,,5 (6),1,1,0.994,1
RNA Polymerase II Transcription Initiation,Reactome,4,TAF9B;POLR2D;TAF3;POLR2A,47 (47),0.892,1,0,,5 (6),1,1,0.994,1
RNA Polymerase II Transcription Initiation And Promoter Clearance,Reactome,4,TAF9B;POLR2D;TAF3;POLR2A,47 (47),0.892,1,0,,7 (8),1,1,0.994,1
RNA Polymerase II HIV Promoter Escape,Reactome,4,TAF9B;POLR2D;TAF3;POLR2A,47 (47),0.892,1,0,,5 (6),1,1,0.994,1
Formation of HIV-1 elongation complex containing HIV-1 Tat,Reactome,4,POLR2D;NELFA;POLR2A;CTDP1,47 (47),0.892,1,0,,2 (3),1,1,0.994,1
Tat-mediated elongation of the HIV-1 transcript,Reactome,4,POLR2D;NELFA;POLR2A;CTDP1,47 (47),0.892,1,0,,5 (6),1,1,0.994,1
HIV Transcription Elongation,Reactome,4,POLR2D;NELFA;POLR2A;CTDP1,47 (47),0.892,1,0,,5 (6),1,1,0.994,1
Intestinal immune network for IgA production - Homo sapiens (human),KEGG,4,PIGR;TNFRSF13C;CXCR4;ITGB7,47 (49),0.892,1,0,,2 (2),1,1,0.994,1
Regulation of RUNX2 expression and activity,Reactome,2,WWP1;HIVEP3,27 (27),0.894,1,0,,6 (7),1,1,0.994,1
Constitutive Signaling by AKT1 E17K in Cancer,Reactome,2,CHUK;NR4A1,27 (27),0.894,1,0,,2 (6),1,1,0.994,1
Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA),Reactome,2,RMI2;RAD50,27 (27),0.894,1,0,,4 (6),1,1,0.994,1
RNA Pol II CTD phosphorylation and interaction with CE,Reactome,2,POLR2D;POLR2A,27 (27),0.894,1,0,,2 (3),1,1,0.994,1
RNA Pol II CTD phosphorylation and interaction with CE during HIV infection,Reactome,2,POLR2D;POLR2A,27 (27),0.894,1,0,,2 (4),1,1,0.994,1
thrombin signaling and protease-activated receptors,BioCarta,2,CYTH4;GNAI1,27 (27),0.894,1,0,,3 (3),1,1,0.994,1
Signaling by FGFR2 in disease,Reactome,2,FGF1;FGF2,27 (27),0.894,1,0,,6 (17),1,1,0.994,1
Keratinization,Reactome,13,KRT17;PERP;PKP2;DSP;EVPL;KRT7;ST14;KRT19;PKP3;KRT80;PCSK6;SPINK5;DSC2,129 (129),0.897,1,0,,6 (10),1,1,0.995,1
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,Reactome,9,BLK;BLNK;CD19;CD79A;CD79B;VAV1;IGLC2;PLCG2;ITPR3,94 (94),0.898,1,0,,5 (8),1,1,0.995,1
Stimuli-sensing channels,Reactome,9,ANO1;TRDN;SGK1;WWP1;RYR1;TTYH3;ASIC5;TPCN1;SGK2,94 (94),0.898,1,0,,9 (11),1,1,0.995,1
DroToll-like,INOH,3,GZMB;PSMD1;ADAM10,65 (65),0.995,1,0,,0 (1),1,1,0.995,1
NAD+ metabolism,Wikipathways,1,SIRT5,16 (16),0.9,1,0,,14 (14),1,1,0.995,1
Signaling by ERBB2 ECD mutants,Reactome,1,ERBB2,16 (16),0.9,1,0,,6 (8),1,1,0.995,1
Glycosphingolipid biosynthesis - neolactoseries,EHMN,1,FUT2,16 (16),0.9,1,0,,8 (48),1,1,0.995,1
control of skeletal myogenesis by hdac and calcium/calmodulin-dependent kinase (camk),BioCarta,1,MEF2C,16 (16),0.9,1,0,,1 (1),1,1,0.995,1
cadmium induces dna synthesis and proliferation in macrophages,BioCarta,1,NFKBIA,16 (16),0.9,1,0,,6 (9),1,1,0.995,1
KSRP (KHSRP) binds and destabilizes mRNA,Reactome,1,MAPK11,16 (16),0.9,1,0,,3 (4),1,1,0.995,1
Morphine Metabolism Pathway,SMPDB,1,UGT1A1,16 (16),0.9,1,0,,6 (6),1,1,0.995,1
Interactions of Rev with host cellular proteins,Reactome,3,NUP35;NDC1;POM121,38 (38),0.9,1,0,,3 (4),1,1,0.995,1
NOTCH1 Intracellular Domain Regulates Transcription,Reactome,4,RBPJ;MAML1;HDAC7;MAMLD1,48 (48),0.901,1,0,,2 (2),1,1,0.995,1
mRNA Splicing - Minor Pathway,Reactome,2,POLR2D;POLR2A,52 (52),0.995,1,0,,0 (2),1,1,0.995,1
Overview of interferons-mediated signaling pathway,Wikipathways,1,IFNGR1,37 (37),0.995,1,0,,0 (0),1,1,0.995,1
SUMOylation of DNA damage response and repair proteins,Reactome,4,NUP35;NDC1;POM121;HDAC7,78 (78),0.995,1,0,,0 (0),1,1,0.995,1
tRNA processing in the nucleus,Reactome,5,NUP35;NDC1;POM121;XPOT;RPP40,58 (58),0.904,1,0,,7 (10),1,1,0.995,1
Colorectal cancer - Homo sapiens (human),KEGG,8,TGFB2;TGFB3;TGFBR2;BAK1;BCL2;EREG;PMAIP1;SMAD3,86 (86),0.905,1,0,,1 (1),1,1,0.995,1
MicroRNAs in cardiomyocyte hypertrophy,Wikipathways,10,GATA4;IKBKG;FGF2;NFATC4;HDAC7;LIF;IGF1R;CHUK;MAPK7;MYLK3,104 (104),0.905,1,0,,3 (3),1,1,0.995,1
Translocation of ZAP-70 to Immunological synapse,Reactome,2,CD3D;LCK,28 (28),0.905,1,0,,4 (5),1,1,0.995,1
3-phosphoinositide biosynthesis,HumanCyc,2,PIK3C2G;PI4K2B,28 (28),0.905,1,0,,7 (11),1,1,0.995,1
role of erbb2 in signal transduction and oncology,BioCarta,2,LRPPRC;ERBB2,28 (28),0.905,1,0,,2 (2),1,1,0.995,1
Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide_ LLO) and transfer to a nascent protein,Reactome,7,GNE;ST8SIA3;SLC17A5;ST6GALNAC4;ST3GAL2;PGM3;ALG13,77 (77),0.906,1,0,,59 (82),1,1,0.995,1
ESR-mediated signaling,Reactome,23,EREG;MMP2;HBEGF;FOSB;POLR2A;GNB5;GNG2;SRF;ZDHHC7;GPAM;GNAI1;BCL2;POLR2D;CAV1;CAV2;MMP7;RUNX1;MMP9;GNG11;GNGT2;NOS3;TFF1;TFF3,216 (217),0.906,1,0,,27 (30),1,1,0.995,1
Melanoma,Wikipathways,6,BAK1;KIT;PAK1;KDR;PREX2;SHC2,68 (68),0.908,1,0,,2 (5),1,1,0.996,1
Interleukin-1 family signaling,Reactome,6,IL1B;IKBKG;NFKBIA;MAP3K3;SMAD3;CHUK,68 (68),0.908,1,0,,2 (5),1,1,0.996,1
DNA damage response,Wikipathways,6,SESN1;PMAIP1;ABL1;SFN;TNFRSF10B;RAD50,68 (68),0.908,1,0,,1 (2),1,1,0.996,1
RNA degradation - Homo sapiens (human),KEGG,4,BTG2;HSPD1;ENO3;HSPA9,79 (79),0.996,1,0,,0 (0),1,1,0.996,1
Formation of HIV elongation complex in the absence of HIV Tat,Reactome,4,POLR2D;NELFA;POLR2A;CTDP1,49 (49),0.909,1,0,,2 (3),1,1,0.996,1
RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known,Reactome,3,CBX6;SMARCA2;RUNX1,39 (39),0.91,1,0,,2 (2),1,1,0.996,1
Association of TriC/CCT with target proteins during biosynthesis,Reactome,3,LONP2;AP3M1;KIFC3,39 (39),0.91,1,0,,1 (1),1,1,0.996,1
HIV Infection,Reactome,20,TAF9B;XRCC5;SLC25A4;AP1M2;VPS37A;AP1S2;PACS1;CXCR4;NELFA;CCR5;TAF3;NMT2;POLR2A;POLR2D;NUP35;NDC1;POM121;LCK;MVB12B;CTDP1,192 (192),0.912,1,0,,12 (19),1,1,0.996,1
Leptin Insulin Overlap,Wikipathways,1,SOCS2,17 (17),0.914,1,0,,1 (2),1,1,0.996,1
Circadian rhythm pathway,PID,1,CSNK1E,17 (17),0.914,1,0,,3 (4),1,1,0.996,1
Zinc transporters,Reactome,1,SLC39A5,17 (17),0.914,1,0,,1 (1),1,1,0.996,1
aspirin blocks signaling pathway involved in platelet activation,BioCarta,1,GNAI1,17 (17),0.914,1,0,,6 (6),1,1,0.996,1
Regulation of RUNX1 Expression and Activity,Reactome,1,RUNX1,17 (17),0.914,1,0,,4 (4),1,1,0.996,1
TLR NFkB,INOH,6,IL1B;CHUK;IKBKG;PSMD1;NFKBIA;TLR4,69 (69),0.915,1,0,,1 (1),1,1,0.996,1
Pentose phosphate pathway,EHMN,2,NUP35;ALDOB,29 (29),0.916,1,0,,35 (37),1,1,0.996,1
Dectin-2 family,Reactome,2,PLCG2;MUC1,29 (29),0.916,1,0,,3 (4),1,1,0.996,1
heparan sulfate biosynthesis,HumanCyc,2,HS3ST3A1;HS3ST1,29 (29),0.916,1,0,,10 (10),1,1,0.996,1
Nephrin/Neph1 signaling in the kidney podocyte,PID,2,ARRB2;ASB15,29 (29),0.916,1,0,,5 (5),1,1,0.996,1
mRNA Capping,Reactome,2,POLR2D;POLR2A,29 (29),0.916,1,0,,6 (9),1,1,0.996,1
Regulated Necrosis,Reactome,2,RIPK3;TNFRSF10B,29 (29),0.916,1,0,,8 (16),1,1,0.996,1
fc epsilon receptor i signaling in mast cells,BioCarta,2,VAV1;MAP3K1,29 (29),0.916,1,0,,1 (1),1,1,0.996,1
Fc epsilon receptor (FCERI) signaling,Reactome,15,LAT;PAK1;NFATC2;CARD11;VAV1;NFKBIA;IGLC2;PRKCQ;GAB2;PLCG2;GRAP2;CHUK;MAP3K1;ITPR3;IKBKG,150 (150),0.916,1,0,,11 (16),1,1,0.996,1
N-Glycan biosynthesis - Homo sapiens (human),KEGG,4,B4GALT2;FUT8;ALG13;MAN1C1,50 (50),0.917,1,0,,11 (38),1,1,0.996,1
HIV Life Cycle,Reactome,15,TAF9B;XRCC5;VPS37A;CXCR4;NELFA;CCR5;TAF3;NMT2;POLR2A;POLR2D;NUP35;NDC1;POM121;MVB12B;CTDP1,151 (151),0.921,1,0,,10 (16),1,1,0.997,1
IL-5 signaling pathway,Wikipathways,1,BCL2,40 (40),0.997,1,0,,0 (0),1,1,0.997,1
Rab regulation of trafficking,Reactome,11,RINL;TBC1D10A;DENND5B;RAB6B;RAB3IL1;RAB27B;RAB7B;DENND3;OPTN;RIN1;SYTL1,116 (116),0.922,1,0,,6 (6),1,1,0.997,1
B cell receptor signaling,INOH,13,BLNK;CD19;PSMD1;IKBKG;CARD11;NFKBIA;CD79A;CD79B;VAV1;PLCG2;CHUK;LCK;ITPR3,134 (134),0.923,1,0,,6 (7),1,1,0.997,1
Host Interactions of HIV factors,Reactome,8,SLC25A4;AP1M2;AP1S2;PACS1;NUP35;NDC1;POM121;LCK,89 (89),0.923,1,0,,5 (9),1,1,0.997,1
Signaling by FGFR1,Reactome,4,FGFR1;FGF1;SPRED2;FGF2,51 (51),0.925,1,0,,7 (8),1,1,0.997,1
Downstream signaling of activated FGFR2,Reactome,2,FGF1;FGF2,30 (30),0.925,1,0,,6 (8),1,1,0.997,1
Negative regulation of FGFR3 signaling,Reactome,2,FGF1;FGF2,30 (30),0.925,1,0,,4 (4),1,1,0.997,1
Regulation of TP53 Activity through Acetylation,Reactome,2,PIP4K2A;BRPF1,30 (30),0.925,1,0,,7 (9),1,1,0.997,1
Synthesis of glycosylphosphatidylinositol (GPI),Reactome,1,PIGL,18 (18),0.925,1,0,,10 (19),1,1,0.997,1
Interleukin-12 family signaling,Reactome,1,IL27RA,18 (18),0.925,1,0,,2 (2),1,1,0.997,1
Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer_s disease models,Reactome,1,LMNB1,18 (18),0.925,1,0,,4 (4),1,1,0.997,1
Neurodegenerative Diseases,Reactome,1,LMNB1,18 (18),0.925,1,0,,4 (4),1,1,0.997,1
mets affect on macrophage differentiation,BioCarta,1,ETS2,18 (18),0.925,1,0,,2 (2),1,1,0.997,1
RHO GTPases Activate ROCKs,Reactome,1,LIMK1,18 (18),0.925,1,0,,5 (5),1,1,0.997,1
Signaling by cytosolic FGFR1 fusion mutants,Reactome,1,GAB2,18 (18),0.925,1,0,,3 (8),1,1,0.997,1
DDX58/IFIH1-mediated induction of interferon-alpha/beta,Reactome,5,NFKBIA;CHUK;IKBKG;MAP3K1;TKFC,61 (61),0.926,1,0,,3 (7),1,1,0.997,1
Signaling by FGFR3,Reactome,3,GALNT3;FGF1;FGF2,41 (41),0.926,1,0,,9 (10),1,1,0.997,1
tRNA modification in the nucleus and cytosol,Reactome,3,TPRKB;TRDMT1;TRMT9B,41 (41),0.926,1,0,,23 (48),1,1,0.997,1
Non-alcoholic fatty liver disease - Homo sapiens (human),KEGG,10,PKLR;COX7A1;CYP2E1;IL1B;ADIPOR2;PPARA;UQCRC2;COX6A2;PRKAA2;PRKAG2,150 (150),0.997,1,0,,0 (2),1,1,0.997,1
Eukaryotic Transcription Initiation,Wikipathways,1,POLR2A,41 (41),0.997,1,0,,0 (0),1,1,0.997,1
Homologous recombination - Homo sapiens (human),KEGG,1,RAD50,41 (41),0.997,1,0,,0 (0),1,1,0.997,1
RAB GEFs exchange GTP for GDP on RABs,Reactome,8,RINL;DENND5B;RAB6B;RIN1;RAB27B;RAB7B;DENND3;RAB3IL1,90 (90),0.929,1,0,,4 (4),1,1,0.997,1
Leishmania infection,Reactome,35,ADORA2B;PLK2;ADCY4;ABL1;RAMP2;ADRB2;WAS;P2RX7;VAV1;PRKAR1B;DPEP1;WASF2;PYCARD;GNB5;WASF3;GNG2;SCTR;ENTPD5;ACTG1;PRKAR2A;C3;C3AR1;IGLC2;PLCG2;FGR;ASB15;IL1B;GNG11;GNGT2;PTGIR;ADCY2;PTH1R;ADCY9;GGT1;ITPR3,323 (323),0.931,1,0,,46 (53),1,1,0.998,1
Formation of RNA Pol II elongation complex ,Reactome,5,POLR2D;MLLT3;NELFA;POLR2A;CTDP1,62 (62),0.932,1,0,,2 (4),1,1,0.998,1
RNA Polymerase II Transcription Elongation,Reactome,5,POLR2D;MLLT3;NELFA;POLR2A;CTDP1,62 (62),0.932,1,0,,5 (7),1,1,0.998,1
Transferrin endocytosis and recycling,Reactome,2,ATP6V0E2;TFR2,31 (31),0.933,1,0,,7 (9),1,1,0.998,1
Prostaglandin formation from dihomo gama-linoleic acid,EHMN,2,NUP35;PTGS2,31 (31),0.933,1,0,,6 (8),1,1,0.998,1
Phosphorylation of CD3 and TCR zeta chains,Reactome,2,CD3D;LCK,31 (31),0.933,1,0,,4 (5),1,1,0.998,1
SARS-CoV-1 Infection,Reactome,2,ST6GALNAC4;ST3GAL2,31 (31),0.933,1,0,,13 (25),1,1,0.998,1
Prader-Willi and Angelman Syndrome,Wikipathways,3,GABRB3;NGF;TUBGCP5,42 (43),0.934,1,0,,2 (3),1,1,0.998,1
DNA Replication,Wikipathways,3,MCM3;MCM10;MCM4,42 (42),0.934,1,0,,7 (7),1,1,0.998,1
N-Glycan biosynthesis,EHMN,3,B4GALT2;FUT8;MAN1C1,42 (42),0.934,1,0,,23 (51),1,1,0.998,1
tRNA Aminoacylation,Reactome,3,PPA1;NARS2;IARS2,42 (42),0.934,1,0,,22 (65),1,1,0.998,1
Signaling by FGFR4,Reactome,3,FGF2;FGF1;KLB,42 (42),0.934,1,0,,7 (8),1,1,0.998,1
Graft-versus-host disease - Homo sapiens (human),KEGG,3,IL1B;GZMB;PRF1,42 (42),0.934,1,0,,2 (2),1,1,0.998,1
Fc Epsilon Receptor I Signaling in Mast Cells,SMPDB,3,LAT;INPP5D;GAB2,42 (42),0.934,1,0,,13 (13),1,1,0.998,1
Signaling by NOTCH,Reactome,19,ARRB2;MAML1;ADAM10;DLL4;NEURL1B;HDAC7;ELF3;DTX1;SMAD3;MFNG;LFNG;FLT4;NOTCH4;ARRB1;PLXND1;GZMB;RBPJ;RUNX1;MAMLD1,189 (190),0.934,1,0,,12 (13),1,1,0.998,1
Nucleotide metabolism,Wikipathways,1,DHFR,19 (19),0.935,1,0,,16 (18),1,1,0.998,1
ER Quality Control Compartment (ERQC),Reactome,1,AMFR,19 (19),0.935,1,0,,3 (13),1,1,0.998,1
COPI-dependent Golgi-to-ER retrograde traffic,Reactome,7,KIF21B;CENPE;KIF26A;KIF20B;KIF23;KIF1B;KIF21A,82 (82),0.936,1,0,,4 (5),1,1,0.998,1
Lysosome - Homo sapiens (human),KEGG,12,NPC1;AP1M2;SLC17A5;AP1S2;CD63;HYAL1;DNASE2B;CTSW;LIPA;ARSG;AP3M1;SLC11A1,128 (128),0.936,1,0,,3 (4),1,1,0.998,1
p53 pathway,PID,2,ABL1;CSNK1E,59 (59),0.998,1,0,,0 (0),1,1,0.998,1
Endometrial cancer,Wikipathways,5,ERBB2;BAK1;FGFR1;FGF1;FGF2,63 (63),0.937,1,0,,1 (4),1,1,0.998,1
TLR p38,INOH,5,MAPK11;PSMD1;MAPK13;MAPK12;TLR4,63 (63),0.937,1,0,,1 (1),1,1,0.998,1
Nuclear Envelope Breakdown,Reactome,4,LMNB1;NDC1;POM121;NUP35,53 (53),0.938,1,0,,7 (9),1,1,0.998,1
Cytosolic DNA-sensing pathway,Wikipathways,6,IL1B;CHUK;IKBKG;PYCARD;NFKBIA;RIPK3,73 (73),0.939,1,0,,1 (2),1,1,0.998,1
