pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2,Reactome,0,,1 (1),1,1,1,HMDB0001860,9 (10),0.0702,1,0.257,0.55
pyrimidine deoxyribonucleosides degradation,HumanCyc,0,,4 (4),1,1,1,HMDB0000273,9 (10),0.0702,1,0.257,0.55
Retinol metabolism - Homo sapiens (human),KEGG,2,AOX1;UGT2A3,68 (68),0.0718,0.755,0,,18 (25),1,1,0.261,0.552
22q11.2 copy number variation syndrome,Wikipathways,3,COMT;EGFR;SEPTIN5,149 (149),0.0723,0.755,0,,20 (30),1,1,0.262,0.552
Hyaluronan metabolism,Reactome,1,HEXA,12 (12),0.075,0.755,0,,5 (7),1,1,0.269,0.552
superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),HumanCyc,1,MVK,12 (12),0.075,0.755,0,,20 (21),1,1,0.269,0.552
Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation,EHMN,1,ACADSB,12 (12),0.075,0.755,0,,10 (10),1,1,0.269,0.552
Lysine catabolism,Reactome,1,ALDH7A1,12 (12),0.075,0.755,0,,30 (32),1,1,0.269,0.552
Ethanol oxidation,Reactome,1,ACSS2,12 (12),0.075,0.755,0,,15 (15),1,1,0.269,0.552
Eicosanoids,Reactome,1,CYP8B1,12 (12),0.075,0.755,0,,10 (13),1,1,0.269,0.552
isoleucine degradation,HumanCyc,1,ACADSB,12 (12),0.075,0.755,0,,14 (16),1,1,0.269,0.552
Aspartate and asparagine metabolism,Reactome,1,ASPG,12 (12),0.075,0.755,0,,23 (24),1,1,0.269,0.552
Pregnenolone biosynthesis,Reactome,1,FDX1,12 (12),0.075,0.755,0,,11 (13),1,1,0.269,0.552
Nicotinamide salvaging,Reactome,1,CYP8B1,12 (12),0.075,0.755,0,,30 (37),1,1,0.269,0.552
lectin induced complement pathway,BioCarta,1,MBL2,12 (12),0.075,0.755,0,,2 (2),1,1,0.269,0.552
PECAM1 interactions,Reactome,1,INPP5D,12 (12),0.075,0.755,0,,2 (2),1,1,0.269,0.552
map kinase inactivation of smrt corepressor,BioCarta,1,EGFR,12 (12),0.075,0.755,0,,2 (2),1,1,0.269,0.552
17-Beta Hydroxysteroid Dehydrogenase III Deficiency,SMPDB,1,AKR1D1,12 (12),0.075,0.755,0,,32 (32),1,1,0.269,0.552
Mitochondrial iron-sulfur cluster biogenesis,Reactome,1,FDX1,12 (12),0.075,0.755,0,,6 (11),1,1,0.269,0.552
Androgen and Estrogen Metabolism,SMPDB,1,AKR1D1,12 (12),0.075,0.755,0,,32 (32),1,1,0.269,0.552
Aromatase deficiency,SMPDB,1,AKR1D1,12 (12),0.075,0.755,0,,32 (32),1,1,0.269,0.552
Alanine and aspartate metabolism,Wikipathways,1,ABAT,12 (12),0.075,0.755,0,,19 (20),1,1,0.269,0.552
Prolactin signaling pathway - Homo sapiens (human),KEGG,2,SLC2A2;GCK,70 (70),0.0755,0.758,0,,10 (11),1,1,0.27,0.552
Signal Transduction,Reactome,9,EGFR;NIPSNAP2;PEA15;HPN;FASN;PPP1R12A;POFUT1;LBR;MYLK,2431 (2432),0.984,1,4,HMDB0010404;HMDB0034927;HMDB0013461;HMDB0002183,206 (290),0.078,1,0.274,0.552
HDL remodeling,Reactome,0,,9 (9),1,1,1,HMDB0010404,10 (13),0.0777,1,0.276,0.552
p75 NTR receptor-mediated signalling,Reactome,0,,96 (96),1,1,1,HMDB0013461,10 (11),0.0777,1,0.276,0.552
Death Receptor Signalling,Reactome,0,,134 (134),1,1,1,HMDB0013461,10 (12),0.0777,1,0.276,0.552
Intracellular Signalling Through Adenosine Receptor A2b and Adenosine,SMPDB,0,,38 (38),1,1,1,HMDB0009888,10 (10),0.0777,1,0.276,0.552
Intracellular Signalling Through Adenosine Receptor A2a and Adenosine,SMPDB,0,,38 (38),1,1,1,HMDB0009888,10 (10),0.0777,1,0.276,0.552
Oxytocin signaling pathway - Homo sapiens (human),KEGG,3,PPP1R12A;EGFR;MYLK,154 (154),0.0781,0.765,0,,11 (12),1,1,0.277,0.552
Glycolysis,Reactome,2,PKLR;GCK,72 (73),0.0792,0.765,0,,21 (27),1,1,0.28,0.552
Glycine Serine metabolism,INOH,1,GNMT,40 (40),0.229,1,1,HMDB0000128,53 (68),0.351,1,0.283,0.552
Dopamine metabolism,Wikipathways,1,COMT,13 (13),0.081,0.765,0,,29 (33),1,1,0.285,0.552
GRB2 events in EGFR signaling,Reactome,1,EGFR,13 (13),0.081,0.765,0,,2 (2),1,1,0.285,0.552
Signaling by EGFRvIII in Cancer,Reactome,1,EGFR,13 (13),0.081,0.765,0,,5 (11),1,1,0.285,0.552
ERBB2 Activates PTK6 Signaling,Reactome,1,EGFR,13 (13),0.081,0.765,0,,2 (2),1,1,0.285,0.552
valine degradation,HumanCyc,1,ABAT,13 (13),0.081,0.765,0,,19 (20),1,1,0.285,0.552
UTP and CTP <i>de novo</i> biosynthesis,HumanCyc,1,CTPS1,13 (13),0.081,0.765,0,,11 (11),1,1,0.285,0.552
stearate biosynthesis,HumanCyc,1,ACSL1,13 (13),0.081,0.765,0,,15 (17),1,1,0.285,0.552
Galactose metabolism,INOH,1,GCK,13 (13),0.081,0.765,0,,14 (15),1,1,0.285,0.552
Degradation of cysteine and homocysteine,Reactome,1,CSAD,13 (13),0.081,0.765,0,,31 (40),1,1,0.285,0.552
noradrenaline and adrenaline degradation,HumanCyc,1,COMT,13 (13),0.081,0.765,0,,20 (20),1,1,0.285,0.552
Constitutive Signaling by EGFRvIII,Reactome,1,EGFR,13 (13),0.081,0.765,0,,5 (11),1,1,0.285,0.552
Lysine Degradation,SMPDB,1,ALDH7A1,13 (13),0.081,0.765,0,,26 (27),1,1,0.285,0.552
Folate malabsorption_ hereditary,SMPDB,1,ALDH1L1,13 (13),0.081,0.765,0,,28 (28),1,1,0.285,0.552
Hyperlysinemia I_ Familial,SMPDB,1,ALDH7A1,13 (13),0.081,0.765,0,,26 (27),1,1,0.285,0.552
Galactose Metabolism,SMPDB,1,GCK,13 (13),0.081,0.765,0,,31 (36),1,1,0.285,0.552
2-aminoadipic 2-oxoadipic aciduria,SMPDB,1,ALDH7A1,13 (13),0.081,0.765,0,,26 (27),1,1,0.285,0.552
Methylenetetrahydrofolate Reductase Deficiency (MTHFRD),SMPDB,1,ALDH1L1,13 (13),0.081,0.765,0,,28 (28),1,1,0.285,0.552
Methotrexate Action Pathway,SMPDB,1,ALDH1L1,13 (13),0.081,0.765,0,,29 (29),1,1,0.285,0.552
Folate Metabolism,SMPDB,1,ALDH1L1,13 (13),0.081,0.765,0,,28 (28),1,1,0.285,0.552
Pyridoxine dependency with seizures,SMPDB,1,ALDH7A1,13 (13),0.081,0.765,0,,26 (27),1,1,0.285,0.552
Saccharopinuria/Hyperlysinemia II,SMPDB,1,ALDH7A1,13 (13),0.081,0.765,0,,26 (27),1,1,0.285,0.552
Gemcitabine Action Pathway,SMPDB,1,CTPS1,13 (13),0.081,0.765,0,,8 (8),1,1,0.285,0.552
Glutaric Aciduria Type I,SMPDB,1,ALDH7A1,13 (13),0.081,0.765,0,,26 (27),1,1,0.285,0.552
Galactosemia,SMPDB,1,GCK,13 (13),0.081,0.765,0,,31 (36),1,1,0.285,0.552
Gemcitabine Metabolism Pathway,SMPDB,1,CTPS1,13 (13),0.081,0.765,0,,8 (8),1,1,0.285,0.552
Hyperlysinemia II or Saccharopinuria,SMPDB,1,ALDH7A1,13 (13),0.081,0.765,0,,26 (27),1,1,0.285,0.552
Caffeine and Theobromine metabolism,Wikipathways,0,,4 (4),1,1,1,HMDB0001860,11 (11),0.0852,1,0.295,0.566
Ca-dependent events,Reactome,0,,39 (39),1,1,1,HMDB0010404,11 (11),0.0852,1,0.295,0.566
Calcium Regulation in the Cardiac Cell,Wikipathways,0,,151 (151),1,1,1,HMDB0009888,11 (11),0.0852,1,0.295,0.566
Intra-Golgi and retrograde Golgi-to-ER traffic,Reactome,0,,186 (186),1,1,1,HMDB0010404,11 (13),0.0852,1,0.295,0.566
SHC1 events in EGFR signaling,Reactome,1,EGFR,14 (14),0.087,0.802,0,,4 (4),1,1,0.299,0.566
Methylation,Reactome,1,COMT,14 (14),0.087,0.802,0,,30 (38),1,1,0.299,0.566
Vitamin B5 (pantothenate) metabolism,Reactome,1,FASN,14 (14),0.087,0.802,0,,17 (17),1,1,0.299,0.566
Nicotinate and Nicotinamide Metabolism,SMPDB,1,AOX1,14 (14),0.087,0.802,0,,34 (35),1,1,0.299,0.566
Malonyl-coa decarboxylase deficiency,SMPDB,1,ABAT,14 (14),0.087,0.802,0,,35 (38),1,1,0.299,0.566
Malonic Aciduria,SMPDB,1,ABAT,14 (14),0.087,0.802,0,,35 (38),1,1,0.299,0.566
Hypoacetylaspartia,SMPDB,1,ABAT,14 (14),0.087,0.802,0,,34 (34),1,1,0.299,0.566
Propanoate Metabolism,SMPDB,1,ABAT,14 (14),0.087,0.802,0,,35 (38),1,1,0.299,0.566
Aspartate Metabolism,SMPDB,1,ABAT,14 (14),0.087,0.802,0,,34 (34),1,1,0.299,0.566
Methylmalonic Aciduria Due to Cobalamin-Related Disorders,SMPDB,1,ABAT,14 (14),0.087,0.802,0,,35 (38),1,1,0.299,0.566
Canavan Disease,SMPDB,1,ABAT,14 (14),0.087,0.802,0,,34 (34),1,1,0.299,0.566
Protein localization,Reactome,3,LDHD;HACL1;NUDT7,165 (165),0.0916,0.827,0,,4 (4),1,1,0.311,0.577
glutaryl-CoA degradation,HumanCyc,0,,4 (4),1,1,1,HMDB0001290,12 (12),0.0926,1,0.313,0.577
ERK Pathway in Huntington_s Disease,Wikipathways,1,EGFR,15 (15),0.0929,0.827,0,,1 (1),1,1,0.314,0.577
Airway smooth muscle cell contraction,Wikipathways,1,MYLK,15 (15),0.0929,0.827,0,,4 (7),1,1,0.314,0.577
Biogenic Amine Synthesis,Wikipathways,1,COMT,15 (15),0.0929,0.827,0,,17 (18),1,1,0.314,0.577
superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis,HumanCyc,1,CTPS1,15 (15),0.0929,0.827,0,,22 (23),1,1,0.314,0.577
ERBB2 Regulates Cell Motility,Reactome,1,EGFR,15 (15),0.0929,0.827,0,,1 (1),1,1,0.314,0.577
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,Reactome,1,EGFR,15 (15),0.0929,0.827,0,,6 (19),1,1,0.314,0.577
Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human),KEGG,1,HEXA,15 (15),0.0929,0.827,0,,7 (31),1,1,0.314,0.577
Glycosphingolipid biosynthesis - globo and isoglobo series - Homo sapiens (human),KEGG,1,HEXA,15 (15),0.0929,0.827,0,,3 (23),1,1,0.314,0.577
D-<i>myo</i>-inositol (1_3_4)-trisphosphate biosynthesis,HumanCyc,1,INPP5D,15 (15),0.0929,0.827,0,,8 (8),1,1,0.314,0.577
Signaling by Ligand-Responsive EGFR Variants in Cancer,Reactome,1,EGFR,15 (15),0.0929,0.827,0,,6 (19),1,1,0.314,0.577
Histidine Metabolism,SMPDB,1,HNMT,15 (15),0.0929,0.827,0,,40 (40),1,1,0.314,0.577
Histidinemia,SMPDB,1,HNMT,15 (15),0.0929,0.827,0,,40 (40),1,1,0.314,0.577
Mercaptopurine Metabolism Pathway,SMPDB,1,AOX1,15 (15),0.0929,0.827,0,,21 (24),1,1,0.314,0.577
1D-<i>myo</i>-inositol hexakisphosphate biosynthesis II (mammalian),HumanCyc,1,INPP5D,15 (15),0.0929,0.827,0,,11 (11),1,1,0.314,0.577
Cholesterol Biosynthesis Pathway,Wikipathways,1,MVK,15 (15),0.0929,0.827,0,,14 (14),1,1,0.314,0.577
Hepatocellular carcinoma - Homo sapiens (human),KEGG,3,EGFR;GSTM3;GSTM4,168 (168),0.0954,0.848,0,,9 (14),1,1,0.32,0.587
GRB2 events in ERBB2 signaling,Reactome,1,EGFR,16 (16),0.0988,0.86,0,,2 (2),1,1,0.327,0.593
PI3K events in ERBB2 signaling,Reactome,1,EGFR,16 (16),0.0988,0.86,0,,3 (4),1,1,0.327,0.593
Signaling by ERBB2 ECD mutants,Reactome,1,EGFR,16 (16),0.0988,0.86,0,,6 (8),1,1,0.327,0.593
Synthesis of Prostaglandins (PG) and Thromboxanes (TX),Reactome,1,CYP8B1,16 (16),0.0988,0.86,0,,39 (50),1,1,0.327,0.593
Omega-3 fatty acid metabolism,EHMN,1,ACSL1,16 (16),0.0988,0.86,0,,15 (16),1,1,0.327,0.593
Steroids metabolism,INOH,1,MVK,16 (16),0.0988,0.86,0,,27 (31),1,1,0.327,0.593
RAF-independent MAPK1/3 activation,Reactome,1,PEA15,16 (16),0.0988,0.86,0,,4 (4),1,1,0.327,0.593
Apoptotic factor-mediated response,Reactome,1,SEPTIN4,16 (16),0.0988,0.86,0,,2 (2),1,1,0.327,0.593
Cori Cycle,Wikipathways,1,SLC2A2,16 (16),0.0988,0.86,0,,18 (25),1,1,0.327,0.593
Biosynthesis of electrophilic ?-3 PUFA oxo-derivatives,Reactome,0,,2 (2),1,1,1,HMDB0002183,13 (28),0.0999,1,0.33,0.596
Heroin Action Pathway,SMPDB,0,,32 (32),1,1,1,HMDB0041812,13 (14),0.0999,1,0.33,0.596
Signaling by GPCR,Reactome,1,EGFR,706 (706),0.991,1,3,HMDB0010404;HMDB0034927;HMDB0002183,142 (190),0.102,1,0.334,0.602
Mitochondrial LC-Fatty Acid Beta-Oxidation,Wikipathways,1,ACSL1,17 (17),0.105,0.894,0,,2 (6),1,1,0.341,0.607
Glycosaminoglycan degradation,Wikipathways,1,HEXA,17 (17),0.105,0.894,0,,3 (5),1,1,0.341,0.607
Glycogen breakdown (glycogenolysis),Reactome,1,PYGL,17 (17),0.105,0.894,0,,9 (11),1,1,0.341,0.607
Selenocompound metabolism - Homo sapiens (human),KEGG,1,INMT,17 (17),0.105,0.894,0,,16 (27),1,1,0.341,0.607
Metabolism of folate and pterines,Reactome,1,ALDH1L1,17 (17),0.105,0.894,0,,20 (25),1,1,0.341,0.607
Heme degradation,Reactome,1,SLCO2B1,17 (17),0.105,0.894,0,,18 (19),1,1,0.341,0.607
Plasma lipoprotein assembly,Reactome,1,APOA2,17 (17),0.105,0.894,0,,10 (11),1,1,0.341,0.607
GAB1 signalosome,Reactome,1,EGFR,17 (17),0.105,0.894,0,,5 (6),1,1,0.341,0.607
Insulin secretion - Homo sapiens (human),KEGG,2,SLC2A2;GCK,86 (86),0.107,0.912,0,,10 (12),1,1,0.346,0.615
Digestion of dietary lipid,Reactome,0,,7 (7),1,1,1,HMDB0000036,14 (17),0.107,1,0.347,0.615
Inhibition of Signaling by Overexpressed EGFR,Reactome,1,EGFR,8 (8),0.0507,0.616,0,,0 (4),1,1,0.0507,0.616
Signaling by Overexpressed Wild-Type EGFR in Cancer,Reactome,1,EGFR,8 (8),0.0507,0.616,0,,0 (4),1,1,0.0507,0.616
SMAC_ XIAP-regulated apoptotic response,Reactome,1,SEPTIN4,8 (8),0.0507,0.616,0,,0 (0),1,1,0.0507,0.616
Phase I biotransformations_ non P450,Wikipathways,1,PON1,8 (8),0.0507,0.616,0,,0 (4),1,1,0.0507,0.616
Arginine and proline metabolism - Homo sapiens (human),KEGG,1,ALDH7A1,50 (51),0.278,1,1,HMDB0000128,60 (78),0.388,1,0.348,0.616
EGF-Ncore,Signalink,2,PEA15;INPP5D,56 (56),0.051,0.618,0,,0 (0),1,1,0.051,0.618
Fatty acid transporters,Wikipathways,1,ACSL1,18 (18),0.11,0.921,0,,1 (2),1,1,0.354,0.618
Estrogen metabolism,Wikipathways,1,COMT,18 (18),0.11,0.921,0,,19 (23),1,1,0.354,0.618
Formation of ATP by chemiosmotic coupling,Reactome,1,ATP5MC2,18 (18),0.11,0.921,0,,5 (5),1,1,0.354,0.618
Glycosphingolipid biosynthesis - globoseries,EHMN,1,HEXA,18 (18),0.11,0.921,0,,14 (22),1,1,0.354,0.618
MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement,Wikipathways,1,MYLK,18 (18),0.11,0.921,0,,1 (1),1,1,0.354,0.618
RHO GTPases Activate ROCKs,Reactome,1,PPP1R12A,18 (18),0.11,0.921,0,,5 (5),1,1,0.354,0.618
Fructose intolerance_ hereditary,SMPDB,1,KHK,18 (18),0.11,0.921,0,,28 (31),1,1,0.354,0.618
Fructose and Mannose Degradation,SMPDB,1,KHK,18 (18),0.11,0.921,0,,28 (31),1,1,0.354,0.618
Fructosuria,SMPDB,1,KHK,18 (18),0.11,0.921,0,,28 (31),1,1,0.354,0.618
Ebola Virus Pathway on Host,Wikipathways,3,MBL2;EGFR;GSN,130 (130),0.0522,0.631,0,,0 (0),1,1,0.0522,0.631
Creatine metabolism,Reactome,0,,11 (11),1,1,1,HMDB0000128,15 (15),0.114,1,0.362,0.633
Gastrin-CREB signalling pathway via PKC and MAPK,Reactome,1,EGFR,19 (19),0.116,0.958,0,,4 (5),1,1,0.366,0.634
GABA synthesis_ release_ reuptake and degradation,Reactome,1,ABAT,19 (19),0.116,0.958,0,,15 (17),1,1,0.366,0.634
fatty acid &beta;-oxidation (peroxisome),HumanCyc,1,ACSL1,19 (19),0.116,0.958,0,,61 (85),1,1,0.366,0.634
fatty acid &beta;-oxidation,HumanCyc,1,ACSL1,19 (19),0.116,0.958,0,,60 (84),1,1,0.366,0.634
Initiation of Nuclear Envelope (NE) Reformation,Reactome,1,LBR,19 (19),0.116,0.958,0,,6 (9),1,1,0.366,0.634
Glycosaminoglycan degradation - Homo sapiens (human),KEGG,1,HEXA,19 (19),0.116,0.958,0,,5 (27),1,1,0.366,0.634
Glucose metabolism,Reactome,2,PKLR;GCK,92 (93),0.12,0.982,0,,32 (39),1,1,0.374,0.645
PLC beta mediated events,Reactome,0,,50 (50),1,1,1,HMDB0010404,16 (17),0.122,1,0.378,0.645
G-protein mediated events,Reactome,0,,55 (55),1,1,1,HMDB0010404,16 (17),0.122,1,0.378,0.645
3-phosphoinositide degradation,HumanCyc,1,INPP5D,20 (20),0.122,0.988,0,,2 (5),1,1,0.379,0.645
One carbon pool by folate - Homo sapiens (human),KEGG,1,ALDH1L1,20 (20),0.122,0.988,0,,9 (9),1,1,0.379,0.645
Cellular hexose transport,Reactome,1,SLC2A2,20 (20),0.122,0.988,0,,4 (7),1,1,0.379,0.645
egf signaling pathway,BioCarta,1,EGFR,20 (20),0.122,0.988,0,,1 (1),1,1,0.379,0.645
sprouty regulation of tyrosine kinase signals,BioCarta,1,EGFR,20 (20),0.122,0.988,0,,3 (4),1,1,0.379,0.645
superpathway of D-<i>myo</i>-inositol (1_4_5)-trisphosphate metabolism,HumanCyc,1,INPP5D,20 (20),0.122,0.988,0,,11 (11),1,1,0.379,0.645
Mitochondrial Electron Transport Chain,SMPDB,1,ATP5MC2,20 (20),0.122,0.988,0,,17 (18),1,1,0.379,0.645
G alpha (i) signalling events,Reactome,0,,316 (316),1,1,2,HMDB0010404;HMDB0034927,77 (106),0.126,1,0.387,0.656
Fructose and mannose metabolism,EHMN,1,SLC2A2,21 (21),0.128,1,0,,28 (34),1,1,0.39,0.656
Glycosphingolipid biosynthesis - ganglioseries,EHMN,1,HEXA,21 (21),0.128,1,0,,18 (38),1,1,0.39,0.656
Branched-chain amino acid catabolism,Reactome,1,ACADSB,21 (21),0.128,1,0,,34 (39),1,1,0.39,0.656
E-cadherin signaling in keratinocytes,PID,1,EGFR,21 (21),0.128,1,0,,4 (4),1,1,0.39,0.656
Signaling by EGFR in Cancer,Reactome,1,EGFR,21 (21),0.128,1,0,,6 (19),1,1,0.39,0.656
pkc-catalyzed phosphorylation of inhibitory phosphoprotein of myosin phosphatase,BioCarta,1,MYLK,21 (21),0.128,1,0,,1 (3),1,1,0.39,0.656
Fc gamma R-mediated phagocytosis - Homo sapiens (human),KEGG,2,INPP5D;GSN,96 (97),0.128,1,0,,7 (8),1,1,0.392,0.656
16p11.2 proximal deletion syndrome,Wikipathways,0,,79 (79),1,1,1,HMDB0010404,17 (40),0.129,1,0.393,0.656
ABC transporters - Homo sapiens (human),KEGG,1,ABCB10,45 (45),0.254,1,1,HMDB0039721,88 (138),0.515,1,0.397,0.656
Arachidonic acid metabolism,EHMN,2,GPX7;SLC27A5,98 (98),0.133,1,0,,47 (53),1,1,0.4,0.656
Lysine degradation,INOH,1,ALDH7A1,22 (22),0.133,1,0,,33 (36),1,1,0.402,0.656
PKC-gamma calcium signaling pathway in ataxia,Wikipathways,1,CA8,22 (22),0.133,1,0,,4 (4),1,1,0.402,0.656
SHC1 events in ERBB2 signaling,Reactome,1,EGFR,22 (22),0.133,1,0,,7 (8),1,1,0.402,0.656
Signaling by ERBB2 TMD/JMD mutants,Reactome,1,EGFR,22 (22),0.133,1,0,,5 (6),1,1,0.402,0.656
Tryptophan metabolism,EHMN,1,ALDH7A1,22 (22),0.133,1,0,,72 (78),1,1,0.402,0.656
superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis,HumanCyc,1,CTPS1,22 (22),0.133,1,0,,33 (34),1,1,0.402,0.656
Signal transduction by L1,Reactome,1,EGFR,22 (22),0.133,1,0,,4 (4),1,1,0.402,0.656
Terpenoid backbone biosynthesis - Homo sapiens (human),KEGG,1,MVK,22 (22),0.133,1,0,,20 (45),1,1,0.402,0.656
Regulation of necroptotic cell death,Reactome,1,OGT,22 (22),0.133,1,0,,6 (10),1,1,0.402,0.656
RIPK1-mediated regulated necrosis,Reactome,1,OGT,22 (22),0.133,1,0,,8 (14),1,1,0.402,0.656
Gluconeogenesis,SMPDB,1,SLC2A2,22 (22),0.133,1,0,,29 (34),1,1,0.402,0.656
Glycogenosis_ Type IA. Von gierke disease,SMPDB,1,SLC2A2,22 (22),0.133,1,0,,29 (34),1,1,0.402,0.656
Glycogenosis_ Type IC,SMPDB,1,SLC2A2,22 (22),0.133,1,0,,29 (34),1,1,0.402,0.656
Glycogen Storage Disease Type 1A (GSD1A) or Von Gierke Disease,SMPDB,1,SLC2A2,22 (22),0.133,1,0,,29 (34),1,1,0.402,0.656
Triosephosphate isomerase,SMPDB,1,SLC2A2,22 (22),0.133,1,0,,29 (34),1,1,0.402,0.656
Fructose-1_6-diphosphatase deficiency,SMPDB,1,SLC2A2,22 (22),0.133,1,0,,29 (34),1,1,0.402,0.656
Phosphoenolpyruvate carboxykinase deficiency 1 (PEPCK1),SMPDB,1,SLC2A2,22 (22),0.133,1,0,,29 (34),1,1,0.402,0.656
Glycogenosis_ Type IB,SMPDB,1,SLC2A2,22 (22),0.133,1,0,,29 (34),1,1,0.402,0.656
Type II diabetes mellitus,Wikipathways,1,SLC2A2,22 (22),0.133,1,0,,4 (4),1,1,0.402,0.656
Membrane Trafficking,Reactome,2,EGFR;RAB32,578 (578),0.894,1,1,HMDB0010404,20 (31),0.15,1,0.403,0.657
Caffeine metabolism - Homo sapiens (human),KEGG,0,,6 (6),1,1,1,HMDB0001860,18 (22),0.136,1,0.407,0.661
Alpha Linolenic Acid and Linoleic Acid Metabolism,SMPDB,0,,6 (6),1,1,1,HMDB0002183,18 (18),0.136,1,0.407,0.661
Di-unsaturated fatty acid beta-oxidation,EHMN,1,ACSL1,23 (23),0.139,1,0,,19 (19),1,1,0.413,0.668
Uptake and actions of bacterial toxins,Reactome,1,CD9,23 (23),0.139,1,0,,9 (11),1,1,0.413,0.668
Response of Mtb to phagocytosis,Reactome,1,RNF213,23 (23),0.139,1,0,,7 (11),1,1,0.413,0.668
UCH proteinases,Reactome,2,OGT;PSMB10,102 (102),0.141,1,0,,1 (3),1,1,0.418,0.673
Leukotriene metabolism,EHMN,2,ACSL1;ALDH7A1,102 (102),0.141,1,0,,25 (27),1,1,0.418,0.673
L1CAM interactions,Reactome,2,SHTN1;EGFR,102 (102),0.141,1,0,,7 (10),1,1,0.418,0.673
Focal adhesion - Homo sapiens (human),KEGG,3,PPP1R12A;EGFR;MYLK,201 (201),0.142,1,0,,1 (2),1,1,0.418,0.673
Synthesis of very long-chain fatty acyl-CoAs,Reactome,1,ACSL1,24 (24),0.144,1,0,,20 (27),1,1,0.424,0.68
Nicotinate metabolism,Reactome,1,CYP8B1,24 (24),0.144,1,0,,40 (50),1,1,0.424,0.68
SLC-mediated transmembrane transport,Reactome,2,SLC2A2;SLCO2B1,243 (243),0.469,1,2,HMDB0000036;HMDB0000273,139 (164),0.309,1,0.425,0.68
Urea cycle and metabolism of arginine_ proline_ glutamate_ aspartate and asparagine,EHMN,2,ABAT;ALDH7A1,105 (105),0.148,1,0,,93 (125),1,1,0.431,0.689
Opioid Signalling,Reactome,0,,91 (91),1,1,1,HMDB0010404,20 (23),0.15,1,0.434,0.689
Relationship between inflammation_ COX-2 and EGFR,Wikipathways,1,EGFR,25 (25),0.15,1,0,,1 (2),1,1,0.435,0.689
Saturated fatty acids beta-oxidation,EHMN,1,ACADSB,25 (25),0.15,1,0,,43 (43),1,1,0.435,0.689
NOTCH3 Activation and Transmission of Signal to the Nucleus,Reactome,1,EGFR,25 (25),0.15,1,0,,3 (3),1,1,0.435,0.689
Signaling by ERBB2 KD Mutants,Reactome,1,EGFR,25 (25),0.15,1,0,,6 (10),1,1,0.435,0.689
Glucuronidation,Reactome,1,UGT2A3,25 (25),0.15,1,0,,28 (31),1,1,0.435,0.689
Signaling by ERBB2 in Cancer,Reactome,1,EGFR,25 (25),0.15,1,0,,6 (10),1,1,0.435,0.689
Liver X receptor pathway,Wikipathways,1,FASN,10 (10),0.0629,0.701,0,,0 (1),1,1,0.0629,0.701
Glucuronidation,Wikipathways,1,UGT2A3,26 (26),0.156,1,0,,14 (14),1,1,0.445,0.703
Fertilization,Reactome,1,CD9,26 (26),0.156,1,0,,5 (5),1,1,0.445,0.703
retinol biosynthesis,HumanCyc,0,,19 (19),1,1,1,HMDB0002183,21 (37),0.157,1,0.447,0.704
Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,Reactome,0,,12 (12),1,1,1,HMDB0000273,21 (21),0.157,1,0.447,0.704
Transcriptional activation of mitochondrial biogenesis,Reactome,1,ACSS2,27 (27),0.161,1,0,,6 (7),1,1,0.455,0.713
Vitamin D3 (cholecalciferol) metabolism,EHMN,1,CYP27A1,27 (27),0.161,1,0,,12 (12),1,1,0.455,0.713
Sulfur amino acid metabolism,Reactome,1,CSAD,27 (27),0.161,1,0,,49 (67),1,1,0.455,0.713
Infection with Mycobacterium tuberculosis,Reactome,1,RNF213,27 (27),0.161,1,0,,30 (55),1,1,0.455,0.713
Selenium Micronutrient Network,Wikipathways,0,,86 (86),1,1,2,HMDB0001904;HMDB0002183,91 (107),0.165,1,0.462,0.722
One-carbon metabolism,Wikipathways,1,ALDH1L1,28 (28),0.166,1,0,,22 (25),1,1,0.465,0.722
Omega-6 fatty acid metabolism,EHMN,1,ACSL1,28 (28),0.166,1,0,,20 (23),1,1,0.465,0.722
FOXO-mediated transcription of oxidative stress_ metabolic and neuronal genes,Reactome,1,GCK,28 (28),0.166,1,0,,4 (4),1,1,0.465,0.722
Recycling pathway of L1,Reactome,1,SHTN1,28 (28),0.166,1,0,,5 (7),1,1,0.465,0.722
EGF,INOH,1,EGFR,28 (28),0.166,1,0,,2 (2),1,1,0.465,0.722
role of erbb2 in signal transduction and oncology,BioCarta,1,EGFR,28 (28),0.166,1,0,,2 (2),1,1,0.465,0.722
Free fatty acid receptors,Reactome,0,,5 (5),1,1,1,HMDB0002183,23 (24),0.17,1,0.472,0.728
Kynurenine Pathway and links to Cellular Senescence,Wikipathways,0,,3 (3),1,1,1,HMDB0001290,23 (25),0.17,1,0.472,0.728
